compound,user_compound_id,smiles,purity_pct,molecular_weight,log_p,tpsa,inchi_key,num_rotatable_bonds,num_h_acceptors,num_h_donors,num_atoms,num_bonds
3c298cd3-0ba2-4e86-9d18-c03a08d47314,9258062,Cc1nc(N2CCN(S(=O)(=O)CCOc3ccccc3)CC2)[nH]c(=O)c1F,,396.44,0.75,95.6,DCBFYUZEIWVCJE-UHFFFAOYSA-N,6,6,1,27,29
801ef874-2b7e-424e-b8b8-ece89f093b0c,9255050,O=C(CCCS(=O)(=O)c1ccccc1)N1CCN(c2ccccc2)CC1,,372.49,2.59,57.69,QQFQAYZDKYDRDF-UHFFFAOYSA-N,6,4,0,26,28
c7416acf-4a13-48f2-9056-4a16a85b1344,9251957,Cn1cc(-c2cc(CNC(=O)CCc3ccc(C#N)cc3)ccn2)cn1,,345.41,2.6,83.6,QQNBAUQLDPMQKF-UHFFFAOYSA-N,6,5,1,26,28
d9738af6-d90e-4ef5-8f34-7c0f5d384523,9269535,CCNS(=O)(=O)c1ccc2c(c1)Cc1cc(S(=O)(=O)NCC)ccc1-2,,380.49,1.85,92.34,RHDVIWHAWXJMET-UHFFFAOYSA-N,6,4,2,25,27
5bd2a4f5-078f-4ade-886c-e5da98698345,9253605,CC=C1CC2CCC(C1)N2c1ncccn1,,215.3,2.55,29.02,WCSYKAFLVSXEGQ-UHFFFAOYSA-N,1,3,0,16,18
5aa07ceb-a887-4280-934b-5cd34861b1d7,9243983,Cc1ccc2c(c1)c(-c1ccccc1)c(-c1ccccc1)n2CC(O)CNC1CCCC1,,424.59,6.18,37.19,FGNADUILVGVYEB-UHFFFAOYSA-N,7,3,2,32,36
9b40435d-6985-4df1-a6fc-53c5928f1020,9257588,FC(F)(F)c1ccnc(N2CC3CC2CO3)n1,,245.2,1.47,38.25,KRTATUMTOSJZJK-UHFFFAOYSA-N,1,4,0,17,19
e47f3b2e-8dfa-493b-ab92-c977e46c0ff1,9261324,O=C(Nc1ccc2c(c1)OCCO2)c1cnn[nH]1,,246.23,0.83,89.13,VMKSQHVYQZIMBS-UHFFFAOYSA-N,2,5,2,18,20
5e650b4c-c2f6-4b4b-9654-60b9e245c8ca,9244854,CC(=O)N1CC2CN(c3ccc(-c4ccccc4)nn3)CC2C1,,308.38,2.06,49.33,UZULOAMDOGDWPD-UHFFFAOYSA-N,2,4,0,23,26
92b8f007-cd55-426d-bf47-815f4322d2de,9261283,O=C(CCc1ccc(C(F)(F)F)cc1)Nc1ccc2c(c1)C(=O)NCC2,,362.35,3.56,58.2,LRYQYVUAKQSCIS-UHFFFAOYSA-N,4,2,2,26,28
1efc9713-d0b7-404a-848b-affd73c457f2,9266315,CCS(=O)(=O)NCCNc1cc(Nc2ccccn2)nc(C)n1,,336.42,1.27,108.9,FGJPPEMOVQDPSZ-UHFFFAOYSA-N,8,7,3,23,24
d6237030-c1bc-4fdb-8780-781896d23cc3,9267956,Cc1ccc(OCC(=O)N(Cc2cnc3ccccn23)C2CC2)cc1,,335.41,3.21,46.84,YGLGALIMASCGFR-UHFFFAOYSA-N,6,4,0,25,28
d11fd978-391d-4d9e-a424-14416b6703ab,9247377,O=C(CSCc1ccccc1)NC1CCc2n[nH]c(=O)cc2C1,,329.43,1.68,74.85,OZQIZWFXGLFFRB-UHFFFAOYSA-N,5,4,2,23,25
43d4e160-3704-463b-b672-34ffeb3881a9,9254041,O=C(CCc1ccc(Br)cc1)N1CC(N2C(=O)CNC2=O)C1,,366.21,1.14,69.72,MMWJWRJJMUQZIW-UHFFFAOYSA-N,4,3,1,22,24
05240131-2aee-43fc-9bfd-40907d7e7b83,9251119,O=C(Cc1ccc(C(F)(F)F)cc1)N1CC(N2C(=O)CNC2=O)C1,,341.29,1.01,69.72,CPOIJMCTIIHODA-UHFFFAOYSA-N,3,3,1,24,26
ebe1a94c-8d65-4e2e-b05b-8635c671b39c,9244472,Cc1nc(SCc2ccc(F)cc2)[nH]c(=O)c1CC(=O)N1CCC(C(N)=O)CC1,,418.49,1.78,109.15,KVOKIHZBMLMCOD-UHFFFAOYSA-N,6,5,2,29,31
373894b2-5696-4aa7-8508-be5ebf9d4122,9245382,Cn1cc(-c2ccc(CCNC(=O)c3cccn(C)c3=O)s2)cn1,,342.42,1.82,68.92,MZCNNTFAQCHBAI-UHFFFAOYSA-N,5,6,1,24,26
9aefb7aa-56b8-44e8-8c8a-9998e7b295c9,9256338,CCOc1ccc(C(=O)NCCSc2c(C)[nH]c3ccccc23)cc1,,354.48,4.4,54.12,LMBLIZFCFRVBFT-UHFFFAOYSA-N,7,3,2,25,27
5bc8e2d1-e4b9-4a85-8cf0-4bcc069df990,9254302,C=CCn1c(SC/C=C/c2ccccc2)nnc1-c1nnc(SC/C=C/c2ccccc2)n1CC=C,,512.71,6.52,61.42,NVCBOQTVRVJOOM-JYFOCSDGSA-N,13,8,0,36,39
1d16ddf2-8c39-4a19-9b87-7a37fd378d97,9253255,COc1ccc(-c2cn3c(CCC(=O)N4CCN(c5ncccn5)CC4)csc3n2)cc1,,448.55,3.14,75.86,RDXBBNAUULPQGB-UHFFFAOYSA-N,6,8,0,32,36
e1aeb9c1-5f59-4178-b46f-d518383f301d,9259458,Cn1c(=O)c2c(nc(N3CCNCC3)n2Cc2ccc(Cl)cc2)n(C)c1=O,,388.86,0.55,77.09,SPMXGPZHMVGEIR-UHFFFAOYSA-N,3,8,1,27,30
c20628a1-2d5a-403b-9eda-17782e786a6c,9266537,CN1CCc2c(sc(NC(=O)CCCSc3ccccc3)c2-c2nc3ccccc3s2)C1.Cl,,516.16,6.95,45.23,BVWNWJOPGIQNBZ-UHFFFAOYSA-N,7,6,1,33,36
33d80d31-3311-4322-ac09-5a854d07fb9c,9257171,COc1ccc(-c2cc3c(=O)n(CCN)ccn3n2)cc1,,284.32,1.13,74.55,KIFKZXPKSJHBFK-UHFFFAOYSA-N,4,6,1,21,23
