user_compound_id,split
1306613,train
1306629,train
1306656,test
1306658,val
1306685,train
1306713,test
1306729,train
1306731,test
1306733,train
1306737,train
1306775,val
1306830,train
1306868,train
1306869,train
1306873,train
1306892,train
1306901,train
1306922,train
1306953,val
1306979,train
1306990,test
1306993,train
1307008,val
1307020,test
1307033,train
1307048,test
1307052,train
1307087,test
1307089,train
1307090,train
1307111,train
1307118,train
1307126,train
28973,test
3327352,train
3327568,test
3327983,train
3328043,train
3328276,train
3328423,train
3328432,val
3328886,val
3328901,train
3779649,train
4002820,test
4734939,train
5473470,val
5473476,train
5473477,train
5556395,val
5743206,train
6040692,train
6516458,test
672901,val
6966943,train
6990808,val
7851478,train
8261511,train
8431169,train
8563588,train
8563589,val
8563592,test
8563596,test
8632645,train
8632646,train
8632647,train
8632648,train
8632649,train
8632650,train
8632651,train
8632652,train
8632653,train
8632654,train
8632656,train
8632659,train
8632660,train
8632661,test
8632662,train
8632663,val
8632664,test
8632666,train
8632667,test
8632668,train
8632669,val
8632670,train
8632672,test
8632673,train
8632675,val
8632676,train
8632677,train
8632679,train
8632680,train
8632681,train
8632682,val
8632683,train
8632684,test
8632685,train
8632686,test
8632687,train
8632688,train
8632689,train
8632691,train
8632692,train
8632693,val
8632694,train
8632695,train
8632696,train
8632697,val
8632698,train
8632699,val
8632700,train
8632701,test
8632702,train
8632703,val
8632704,val
8632705,train
8632706,train
8632707,train
8632708,train
8632709,train
8632710,train
8632711,test
8632712,train
8632713,train
8632714,train
8632715,val
8632716,train
8632717,train
8632718,test
8632719,train
8632720,train
8632721,train
8632722,train
8632723,train
8632724,train
8632725,train
8632726,test
8632727,train
8632728,val
8632729,train
8632730,train
8632731,train
8632732,train
8632733,train
8632734,train
8632735,test
8632736,train
8632737,train
8632739,train
8632740,test
8632741,train
8632742,train
8632743,val
8632744,val
8632745,train
8632746,train
8632747,train
8632748,train
8632749,train
8632750,test
8632751,train
8632752,train
8632753,train
8632755,train
8632756,val
8632757,train
8632758,train
8632759,train
8632760,val
8632761,train
8632763,train
8632764,train
8632765,train
8632766,train
8632767,train
8632768,val
8632769,train
8632770,train
8632771,train
8632772,train
8632773,val
8632774,train
8632775,train
8632776,test
8632777,val
8632778,train
8632779,train
8632780,train
8632781,train
8632782,train
8632783,train
8632784,train
8632785,train
8632786,train
8632787,train
8632788,train
8632789,train
8632790,test
8632791,train
8632792,val
8632794,test
8632795,test
8632796,val
8632797,train
8632798,test
8632799,test
8632800,train
8632802,train
8632803,train
8632804,val
8632805,train
8632806,train
8632807,train
8632808,val
8632809,train
8632810,val
8632811,val
8632812,train
8632814,val
8632815,train
8632816,val
8632817,train
8632818,val
8632819,train
8632820,test
8632821,train
8632822,train
8632823,test
8632824,train
8632825,test
8632826,val
8632827,train
8632828,train
8632829,train
8632830,train
8632831,val
8632832,train
8632833,train
8632834,train
8632835,train
8632836,train
8632837,train
8632839,train
8632840,train
8632841,train
8632842,train
8632843,val
8632844,test
8632845,train
8632846,train
8632847,train
8632848,train
8632849,val
8632850,val
8632851,val
8632852,train
8632853,val
8632854,train
8632855,val
8632856,test
8632857,train
8632858,test
8632859,test
8632860,train
8632861,val
8632862,train
8632863,train
8632864,train
8632865,train
8632866,val
8632867,train
8632868,val
8632869,train
8632870,train
8632871,train
8632872,train
8632873,train
8632874,test
8632875,train
8632876,test
8632877,train
8632878,train
8632879,train
8632880,train
8632881,train
8632882,train
8632883,train
8632884,test
8632885,val
8632886,train
8632887,train
8632888,train
8632889,train
8632890,train
8632891,train
8632892,train
8632893,train
8632894,val
8632895,train
8632896,test
8632897,val
8632898,train
8632899,train
8632901,train
8632902,train
8632903,val
8632904,test
8632905,train
8632906,test
8632907,train
8632908,train
8632909,train
8632910,val
8632911,train
8632912,test
8632913,val
8632914,test
8632915,train
8632916,val
8632917,train
8632918,train
8632919,train
8632920,train
8632922,test
8632923,train
8632924,train
8632925,train
8632926,test
8632927,test
8632928,train
8632929,train
8632930,train
8632931,train
8632932,test
8632933,train
8632934,train
8632935,train
8632936,train
8632937,val
8632938,train
8632939,train
8632940,train
8632942,train
8632943,train
8632945,train
8632946,test
8632947,test
8632948,val
8632949,train
8632950,train
8632951,train
8632952,train
8632953,train
8632954,train
8632955,train
8632956,train
8632957,train
8632958,train
8632959,test
8632960,train
8632961,test
8632962,train
8632963,train
8632964,train
8632965,train
8632966,train
8632967,train
8632968,train
8632969,train
8632970,train
8632972,train
8632973,train
8632974,train
8632975,val
8632976,train
8632977,train
8632978,val
8632979,train
8632980,val
8632981,train
8632982,test
8632983,train
8632984,test
8632985,train
8632986,train
8632987,train
8632988,test
8632989,train
8632990,val
8632991,val
8632992,val
8632993,test
8632994,train
8632995,train
8632996,train
8632997,train
8632998,train
8632999,val
8633000,train
8633001,val
8633002,train
8633003,test
8633004,train
8633005,test
8633006,train
8633007,val
8633008,train
8633009,train
8633010,train
8633011,train
8633012,test
8633013,train
8633014,train
8633015,train
8633016,train
8633017,val
8633018,train
8633019,test
8633020,train
8633021,train
8633022,train
8633023,train
8633024,train
8633025,train
8633026,train
8633028,train
8633029,train
8633030,train
8633031,train
8633032,train
8633033,train
8633034,val
8633035,test
8633036,train
8633037,train
8633038,train
8633039,train
8633040,test
8633042,train
8633043,val
8633044,test
8633045,train
8633046,test
8633047,train
8633048,val
8633049,test
8633050,test
8633051,test
8633052,train
8633053,train
8633054,test
8633055,train
8633056,train
8633057,train
8633058,train
8633059,train
8633060,train
8633061,train
8633062,train
8633063,val
8633064,test
8633065,train
8633066,train
8633067,val
8633068,train
8633069,val
8633070,train
8633071,test
8633072,train
8633073,train
8633074,train
8633075,val
8633076,train
8633077,train
8633078,test
8633079,train
8633080,train
8633081,train
8633082,test
8633083,val
8633084,train
8633086,train
8633087,train
8633088,train
8633089,test
8633090,test
8633091,train
8633092,train
8633093,train
8633094,test
8633095,train
8633096,test
8633097,train
8633098,train
8633099,train
8633100,train
8633101,train
8633102,train
8633103,train
8633104,train
8633105,train
8633106,train
8633107,train
8633108,test
8633109,train
8633110,train
8633111,train
8633112,train
8633113,train
8633114,train
8633115,train
8633116,train
8633117,train
8633119,train
8633120,train
8633121,test
8633122,val
8633123,train
8633124,train
8633125,train
8633126,train
8633127,train
8633128,train
8633129,train
8633130,test
8633131,val
8633132,train
8633133,train
8633134,test
8633135,train
8633136,train
8633137,train
8633138,val
8633139,train
8633140,train
8633141,train
8633142,train
8633144,train
8633145,train
8633146,train
8633147,train
8633148,train
8633149,train
8633150,train
8633151,val
8633152,train
8633153,val
8633154,val
8633155,val
8633156,train
8633157,train
8633158,train
8633159,train
8633160,val
8633161,train
8633162,train
8633163,train
8633164,train
8633165,test
8633166,train
8633167,train
8633168,test
8633169,test
8633170,train
8633171,val
8633172,train
8633173,test
8633174,train
8633175,val
8633176,train
8633177,train
8633178,train
8633179,train
