,smiles
(±)-Vanillylmandelic acid,
L-2-aminoadipic acid,
2-methoxyestradiol,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
Oleic Acid,CCCCCCCC/C=C\CCCCCCCC(=O)O
4-Hydroxy-3-methoxyphenylacetic acid,
L-Aspartic acid,
D-Serine,
5-Fluorouracil,
Melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
4-Imidazoleacrylic acid,
N-Methyl-D-aspartic acid,
"1,7-Dimethylxanthine",
Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C
N-Acetyl-L-Cysteine,
Taurine,NCCS(=O)(=O)O
Theophylline,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O
Uridine 5'-diphosphate sodium,
Phosphonoacetic acid,
L-Arginine,
Forskolin,
6-Aminohexanoic acid,
Protoporphyrin IX disodium,
Estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
"2,3-Butanedione",
Azelaic acid,O=C(O)CCCCCCCC(=O)O
Cortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
Acetamide,CC(N)=O
Hypotaurine,NCCS(=O)O
"3,4-Dihydroxyphenylacetic acid",O=C(O)Cc1ccc(O)c(O)c1
Quinolinic acid,O=C(O)c1cccnc1C(=O)O
O-Phospho-L-serine,
Hydroquinone,Oc1ccc(O)cc1
"L-3,4-Dihydroxyphenylalanine",
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O
L-Tryptophan,
Retinoic acid,
GABA,
L-Glutamine,
5-Hydroxy-L-tryptophan,
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
N-Acetyl-5-hydroxytryptamine,
5-Hydroxyindolacetic acid,
Cortexolone,
Kynurenic acid,
"Adenosine 3',5'-cyclic monophosphate",
Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
ISRIB,
(±)-Metoprolol (+)-tartrate,
RO5263397,
